slang,formal
@,di
abis,habis
ad,ada
adek,adik
adlh,adalah
ahaha,haha
aj,saja
ak,saya
akhirx,akhirnya
akika,aku
akkoh,aku
akuwh,aku
alay,norak
alow,halo
ambilin,ambilkan
anaku,anakku
analisise,analisis
ancur,hancur
anjrit,anjing
ank,anak
anter,antar
ap2,apa-apa
apasih,apa sih
apes,sial
aps,apa
aq,saya
aquwh,aku
asbun,asal bunyi
aseekk,asyik
asekk,asyik
asem,asam
aspal,asli tetapi palsu
astul,asal tulis
ato,atau
awak,saya
ay,sayang
ayank,sayang
b4,sebelum
bakalan,akan
bandes,bantuan desa
bangedh,banget
banpol,bantuan polisi
banpur,bantuan tempur
basbang,basi
bcanda,bercanda
bdg,bandung
begajulan,nakal
beliin,belikan
belom,belum
benarjujur,jujur
bencong,banci
bener,benar
bentar,sebentar
ber3,bertiga
beresin,membereskan
bete,bosan
beud,banget
bg,abang
bgmn,bagaimana
bgn,bangun
bgt,banget
bgtt,banget
bgttt,banget
bijimane,bagaimana
bintal,bimbingan mental
bkl,akan
bknnya,bukannya
blegug,bodoh
blh,boleh
blm,belum
bln,bulan
blum,belum
bnci,benci
bner,benar
bnr,benar
bnran,yang benar
bnyak,banyak
bnyk,banyak
bodor,lucu
bokap,ayah
boker,buang air besar
bokis,bohong
boljug,boleh juga
bonek,bocah nekat
boyeh,boleh
br,baru
brg,bareng
bro,saudara laki-laki
bru,baru
bs,bisa
bsen,bosan
bt,buat
btw,ngomong-ngomong
buangbuang,buang
buaya,tidak setia
bubbu,tidur
bubu,tidur
bumil,ibu hamil
bw,bawa
bwt,buat
byk,banyak
byrin,bayarkan
cabal,sabar
cadas,keren
calo,makelar
can,belum
capcus,pergi
caper,cari perhatian
cb,coba
ce,cewek
cekal,cegah tangkal
cemen,penakut
cengengesan,tertawa
cepet,cepat
cew,cewek
chuyunk,sayang
cimeng,ganja
ciyh,sih
ckepp,cakep
ckp,cakep
cmpur,campur
cod,bayar ditempat
cong,banci
conlok,cinta lokasi
cowwyy,maaf
cp,siapa
cpe,capek
cppe,capek
cr,sumber
cucok,cocok
cuex,cuek
cups,culun
curanmor,pencurian kendaraan bermotor
curcol,curahan hati colongan
cwek,cewek
cyin,cinta
d,di
dah,deh
dapet,dapat
de,adik
dek,adik
